SA2_CODE_2021,Median_tot_fam_inc_weekly
211031451,2221
211031452,2228
211041269,2120
211041270,2487
211041271,2393
211041272,2354
211041273,2179
211051274,2478
211051275,2316
211051276,1971
211051277,2050
211051278,2189
211051279,2179
211051280,2388
211051281,2245
211051282,2432
211051283,2263
211051284,2477
211051285,2230
211051286,1792
212011289,2402
212011546,2322
212011547,2162
212011548,2104
212011549,1879
212011550,2054
212011551,1509
212011552,1959
212021293,2311
212021295,1391
212021297,1633
212021299,2640
212021453,1992
212021454,1893
212021455,2083
212021456,1809
212021553,2456
212021554,2268
212031300,1685
212031303,2314
212031304,1984
212031306,2286
212031308,2126
212031457,2350
212031458,2043
212031555,2357
212031556,2191
212031557,1985
212031558,2036
212031559,2183
212031560,1819
212031561,1654
212031562,1574
212041309,1950
212041310,1743
212041312,1640
212041313,2335
212041316,1722
212041317,1470
212041318,1498
212041459,1610
212041460,1501
212041563,1399
212041564,1414
212041565,1610
212041566,2455
212051319,2449
212051321,2180
212051322,2136
212051323,2353
212051324,2408
212051325,2134
212051326,2331
212051327,2124
212051567,1630
212051568,1856
213011328,1733
213011329,1998
213011331,1667
213011332,1762
213011333,1329
213011334,1310
213011335,1327
213011336,1806
213011337,1491
213011338,1533
213011339,2023
213011340,2357
213011569,1586
213011570,2218
213021341,2475
213021342,1946
213021343,2186
213021344,3213
213021345,2201
213021346,3235
213031347,1947
213031348,2296
213031349,2403
213031350,3149
213031351,2586
213031352,3216
213041353,2156
213041358,1794
213041359,2191
213041360,2350
213041461,2054
213041462,2220
213041463,2277
213041571,1803
213041572,2057
213041573,2687
213041574,2337
213041575,2332
213041576,1765
213041577,1303
213041578,1511
213051361,1908
213051362,1686
213051363,2241
213051368,2177
213051464,2445
213051466,2576
213051467,1614
213051468,2172
213051579,2325
213051580,2363
213051581,2504
213051582,2047
213051583,2127
213051584,2121
213051585,1958
213051586,2239
213051587,2322
213051588,1941
213051589,1962
213051590,1912
214011370,1993
214011371,1941
214011372,1643
214011373,2474
214011374,2274
214011375,2081
214011376,2378
214021377,1794
214021378,2593
214021379,1839
214021381,2956
214021382,2481
214021383,1853
214021384,1513
214021385,2129
214021591,2023
214021592,1969
215011386,1608
215011387,1792
215011388,1820
215011389,2007
215011390,1591
215011391,1399
215011392,1554
215011393,1655
215011394,1485
215021395,2040
215021396,1645
215021398,1678
215021399,1682
215021469,1484
215021470,1784
215031400,1468
215031401,1420
215031402,1412
215031403,1468
215031404,1802
215031405,1682
216011406,1741
216011407,1598
216011408,1708
216011409,1532
216011410,1388
216021411,1450
216021412,1579
216021413,1577
216021414,1445
216031415,1455
216031416,1955
216031418,1967
216031419,1780
216031593,2200
216031594,1357
217011420,1654
217011421,1652
217011422,1551
217011423,1755
217031471,1533
217031472,1701
217031473,1863
217031474,1632
217031475,1763
217031476,1522
217041477,1905
217041478,1911
217041479,1892
217041480,1899
297979799,0
299999499,0
