SA2_CODE16,avg_income,Median_tot_fam_inc_weekly,Tot_P_P,Median_age_persons,Median_rent_weekly
207021424,2189.713749,1880,14573,42,455
207021425,1776.538677,1528,13956,40,401
207031161,2141.874889,2110,21382,39,381
207031162,1966.814213,1964,10793,42,351
207031163,1795.144967,1655,19828,33,356
207031164,2031.491591,1905,17552,38,391
207031165,1711.143039,1629,12248,29,381
207031166,1803.684554,1605,10273,40,400
207031167,2617.585979,2685,9965,40,411
208011168,2685.417843,2701,13472,46,540
208011169,2906.593772,3351,22695,45,521
208011170,2644.303218,2724,15838,43,508
208011171,2176.667985,2300,10938,40,365
208011172,2517.925913,2697,17640,42,400
208011173,2611.388245,2803,16506,45,430
208021174,2273.563917,2298,22415,40,430
208021176,1965.239036,2051,18066,34,358
208021177,2426.237083,2511,20976,34,400
208021178,2401.554203,2456,17448,41,420
208021179,2359.119149,2571,11354,37,380
208021180,2077.527425,2073,7556,35,395
208021181,2112.83694,2202,9251,36,341
208021182,2013.672089,2078,13339,33,360
208021426,2162.792567,2082,14784,39,430
208021427,2093.126948,2036,13238,40,421
208031183,2323.417511,2180,8989,39,452
208031184,899.5,2074,58,29,357
208031185,1897.371086,1984,11548,43,360
208031186,1707.957989,1902,14191,40,323
208031187,1745.54344,1806,5335,40,340
208031188,1857.18433,1940,22270,40,370
208031189,2107.116723,2185,12747,40,370
208031190,1953.210297,2111,12965,41,350
208031191,1986.52123,1941,8803,39,388
208031192,,0,0,0,0
208031193,2094.401333,2237,19917,40,350
208041194,2610.355358,2853,20042,37,381
208041195,2562.636824,2652,21321,36,391
209011196,1733.048479,1562,9894,39,350
209011197,2020.410937,2040,20463,40,350
209011198,2099.177005,2197,14775,39,361
209011199,1538.119843,1519,14149,35,300
209011200,2422.874349,2443,11390,39,375
209011201,2885.511475,2961,7691,44,400
209011202,2052.655667,2097,16096,41,350
209011203,2009.536001,2016,18303,40,350
209011204,1843.84473,1893,9112,39,340
209021205,1914.583626,1651,11328,28,340
209021207,1433.54542,1388,27077,36,310
209021208,1591.141029,1459,24036,38,320
209021428,1695.762086,1702,20022,35,350
209021429,1878.625657,1878,12189,37,351
