SA2_CODE21,avg_income,Median_tot_fam_inc_weekly,Tot_P_P,Median_age_persons,Median_rent_weekly
201011001,2269.734428,2218,16835,34,370
201011002,2130.397616,2276,12131,45,313
201011005,2313.068493,2270,7261,42,330
201011006,1857.98719,1855,10661,33,360
201011007,2311.064133,2236,4230,41,350
201011008,1528.773822,1517,15333,38,260
201011481,1580.664391,1579,9691,41,288
201011482,2080.597154,2217,14750,41,300
201011483,1773.673094,1800,12225,37,295
201011484,1324.843444,1362,13086,39,260
201021009,2113.420276,2053,6559,43,330
201021010,1646.508895,1625,8085,49,250
201021011,1830.286185,1784,9955,53,330
201021012,2148.346571,2111,6372,44,270
201031013,1369.553019,1286,3532,53,200
201031014,1565.766367,1552,4644,49,218
201031015,1781.420326,1768,4894,43,250
201031016,1237.697095,1220,8160,51,240
201031017,1339.563259,1323,5526,53,200
202011018,1672.726561,1665,14929,39,280
202011019,1528.435236,1528,12949,38,280
202011020,1876.003353,1929,13988,44,295
202011021,1831.565399,1957,9437,38,290
202011022,1583.861528,1580,21043,42,290
202011023,2422.804037,2358,5518,37,380
202011024,2495.453215,2411,10719,39,400
202011025,1945.231061,1941,14446,34,330
202021026,2330.722556,2197,8344,41,320
202021027,1617.824072,1676,11352,50,310
202021028,1743.72096,1746,9225,52,280
202021029,1519.730621,1450,5062,53,260
202021030,2131.562727,2086,10562,46,351
202021031,2589.744385,2547,7949,46,392
202031032,1780.877513,1767,4934,46,230
202031033,1413.51229,1375,7289,52,170
203011034,2430.174554,2325,7754,36,386
203011035,2191.305328,2103,8111,40,308
203011036,2237.337458,2162,6614,43,300
203021037,1899.834428,2070,15017,37,350
203021039,2022.253187,2211,13504,40,340
203021040,2155.073567,2365,21200,37,335
203021042,2524.386991,2575,24034,38,365
203021043,2253.619159,2227,20817,37,370
203021044,1936.227869,1956,13272,41,375
203021045,1517.710922,1473,15462,45,300
203021046,2606.012061,2861,10445,40,360
203021047,1821.902391,1812,15795,42,340
203021485,2160.432511,2216,10300,31,420
203021486,1584.2971,1430,18325,36,280
203021487,2076.866774,2128,24763,36,390
203021488,1247.784323,1228,9051,38,254
203031048,1834.837004,1784,16797,45,380
203031049,2216.450901,2127,6234,55,390
203031051,1607.210498,1429,9536,59,340
203031052,2077.760124,1965,5519,61,400
203031053,2640.49464,2627,24607,40,500
203031489,2534.938604,2399,11333,35,420
203031490,2293.594659,2320,19394,44,420
204011054,1548.094102,1528,6828,54,250
204011055,1572.386088,1479,6922,55,250
204011056,1937.796667,1949,15563,40,330
204011057,1739.117309,1708,10517,48,320
204011058,1759.826946,1755,4537,51,285
204011059,1543.482578,1483,6569,45,250
204011060,2182.433258,2126,4645,39,265
204011061,1179.37013,1375,238,43,260
204011062,1695.397079,1592,4182,53,300
204021063,1555.438744,1521,10822,51,250
204021064,1746.348092,1626,3781,52,220
204021065,1738.052162,1808,4047,49,243
204021066,1646.525794,1732,19882,44,260
204021067,1912.153257,1847,9925,48,250
204031068,1866.031915,1899,4986,49,300
204031069,1821.501479,1826,8903,47,298
204031070,1834.720696,1915,3184,47,260
204031071,1646.012113,1673,4745,50,250
204031072,1680.198402,1657,6196,52,210
204031073,1823.80083,1905,15396,39,290
204031075,2170.394529,2125,5221,45,280
204031491,2328.663752,2266,12778,33,385
204031492,1573.543179,1606,15082,41,260
205011076,1799.47023,1799,19773,39,330
205011077,1929.343002,1782,6585,48,250
205011078,1858.942867,1846,8368,43,300
205011079,1986.082346,1993,23051,41,320
205021080,,0,0,0,0
205021081,1561.652018,1516,15684,45,280
205021082,1698.621802,1619,8290,48,250
205021083,,0,0,0,0
205021084,1412.093134,1317,11164,55,270
205021085,1317.821754,1280,6727,55,190
205021086,1496.572482,1314,6977,61,310
205031087,1574.763667,1466,9446,54,250
205031088,1606.56,1050,139,52,346
205031089,1772.321754,1725,9842,46,280
205031090,1728.846524,1744,11502,47,270
205031091,1608.358154,1490,13799,52,330
205031092,1280.75,2374,16,31,100
205031093,1587.240864,1480,26792,51,298
205041094,1890.965414,1715,11912,42,230
205041095,1460.716144,1441,17291,45,210
205041096,1334.334617,1263,14432,43,215
205041098,1990.717689,1994,4707,41,250
205041493,1842.737616,1847,12000,41,250
205041494,2035.516455,2082,16822,39,300
205051099,730.75,1124,23,65,20
205051100,1695.222552,1476,4915,52,200
205051101,1704.443007,1726,14756,43,250
205051102,1906.872572,1837,4928,39,236
205051103,1778.947194,1777,15301,42,280
205051104,1435.314334,1343,5605,53,240
206011106,2487.273061,2834,12738,33,421
