SA2_CODE21,avg_income,Median_tot_fam_inc_weekly,Tot_P_P,Median_age_persons,Median_rent_weekly
206011107,2267.624709,2539,14318,35,365
206011109,2665.919936,2761,10390,39,421
206011495,2479.851328,2718,12890,34,431
206011496,2534.670337,2880,12983,34,450
206011497,2363.008008,2413,12535,37,416
206011498,2592.372697,2645,14031,37,450
206021110,2667.361312,3138,8994,38,381
206021112,2451.291879,2710,18919,37,396
206021499,2773.455437,3164,15068,38,461
206021500,2789.508184,3203,10299,36,490
206031113,2703.339575,3024,15191,37,370
206031115,2075.196682,2221,9065,34,324
206031116,2600.906425,2926,16224,38,400
206031501,2713.802856,2926,16042,40,382
206031502,2566.742107,2896,12191,37,371
206041117,1906.68698,2064,16655,27,365
206041118,2438.982241,2462,15493,32,411
206041119,2989.877299,3733,4896,42,480
206041120,2724.56,3083,77,32,401
206041121,2685.372811,3063,10745,35,416
206041124,2399.401895,2567,7297,26,396
206041125,2860.850482,3284,6423,39,457
206041127,,0,0,0,0
206041503,2035.430097,2248,9848,30,375
206041504,1561.966187,1520,16870,26,361
206041505,1882.962592,1945,15648,29,376
206041506,2238.182939,2475,15637,31,381
206041507,,7000,0,70,0
206041508,2535.364746,2681,6463,33,430
206041509,2287.401298,2385,16101,31,408
206041510,2292.67977,2397,7446,31,390
206051128,2910.649879,3335,15825,41,493
206051129,2626.064902,3210,14818,38,415
206051130,2901.836286,3285,16192,43,522
206051134,2435.977166,2894,15813,34,384
206051511,2933.269177,2967,1907,32,585
206051512,2632.728723,3091,11693,39,421
206051513,2201.931661,2719,11857,35,381
206051514,2304.797352,2787,13858,38,392
206061135,2793.896539,3376,9336,38,421
206061136,2589.17438,3113,19119,34,421
206061138,3179.131805,3904,12953,47,490
206061515,2494.913951,2935,11192,32,426
206061516,2547.124244,3086,9939,35,395
206071139,2655.36025,3024,9088,33,425
206071140,2864.940031,3081,8186,34,541
206071141,2544.414057,2817,9179,33,425
206071142,2709.639596,3072,10431,35,451
206071143,2795.738888,3207,12781,36,481
206071145,3041.931573,3533,9855,37,500
206071517,3064.828956,3516,17671,33,508
206071518,2434.660812,2664,13867,34,400
207011146,3118.888317,3422,7952,41,455
207011147,2633.707535,2556,16163,43,461
207011148,2876.746918,2726,21123,42,554
207011149,3043.036437,3294,21232,43,490
207011150,3258.451103,3571,16829,41,522
207011152,2826.581004,3203,15684,36,411
207011154,3035.729489,3166,6482,41,466
207011155,3175.326745,3538,15944,45,475
207011519,2895.681369,3536,9890,35,401
207011520,2595.208044,3116,11957,34,400
207011521,3107.955245,3364,11601,42,501
207011522,3025.856195,3259,13039,41,456
207021156,2350.645364,2206,11289,45,460
207021157,2133.250363,1957,24814,40,450
207021159,2669.106929,2419,16966,46,513
207021160,2426.372543,2231,14191,45,475
207021424,2418.726166,2158,15672,43,497
207021425,2144.184638,1979,15454,40,460
207031161,2544.654466,2557,22106,40,420
207031162,2344.942125,2371,10939,42,410
207031163,2041.479123,1914,22841,34,391
207031164,2431.154627,2304,18126,39,438
207031165,2143.586683,2119,12336,33,401
207031166,2105.758696,1972,10675,41,439
207031167,2906.200996,3092,10166,42,462
208011168,3082.979171,3296,14021,48,612
208011169,3214.546536,3808,22758,48,600
208011170,3124.289024,3421,16540,44,602
208011171,2750.569259,2975,12439,40,450
208011172,2934.768356,3383,18200,43,471
208011173,2908.033946,3310,17358,48,486
208021174,2744.079628,2863,24896,40,491
208021176,2360.105113,2537,18534,36,395
208021177,2764.853699,3012,22362,35,426
208021178,2814.108741,2988,18075,41,483
208021179,2725.81994,3216,11904,38,426
208021180,2516.163587,2540,7563,38,416
208021181,2606.710617,2798,9369,38,390
208021182,2468.604478,2670,13128,36,391
208021426,2696.880692,2656,16583,39,508
208021427,2624.840412,2627,14057,40,490
208031183,2740.412402,2549,8853,42,510
208031184,1167.357143,2250,31,56,504
208031185,2261.8645,2370,12032,44,420
208031186,2135.319511,2411,15204,41,381
208031187,2196.686918,2313,5393,40,412
208031188,2298.718418,2470,24085,40,421
208031189,2598.917158,2706,13563,40,440
208031190,2368.611606,2604,13197,42,392
208031191,2465.20638,2513,9116,40,440
208031192,,0,26,22,486
208031193,2578.534793,2807,21199,42,400
208041194,2957.571531,3488,20239,40,410
208041195,2960.924447,3292,21923,38,421
209011196,2107.164033,1966,9831,39,385
209011197,2456.58965,2477,20807,42,400
209011198,2569.762036,2772,16039,40,401
209011199,2017.353139,2139,14852,35,353
209011200,2789.945831,3041,12458,41,440
209011201,3270.277735,3549,7740,45,451
209011202,2471.024653,2549,16539,42,415
209011203,2442.300286,2487,18733,40,400
209011204,2321.372727,2410,9236,39,390
209021205,2250.954749,2091,10408,34,369
209021428,2174.205065,2287,20711,36,391
209021429,2409.477081,2455,12696,38,400
209021523,1903.025754,1978,14795,36,358
209021524,1898.730977,1701,9801,43,371
209021525,1836.85184,1910,12799,38,349
209021526,2094.991955,2211,14090,37,361
209031209,2882.885701,2843,23444,43,446
209031210,2473.986888,2402,3554,41,420
209031211,2135.727021,2077,4204,42,306
209031212,2687.444631,2483,5091,48,300
209031213,2922.47554,2802,9454,43,480
209031214,3167.213494,3053,6935,43,462
209031215,2789.478878,2734,14417,39,429
209041216,2273.237436,2256,7350,37,381
209041217,1812.102921,1689,6186,40,380
209041220,2167.617077,2053,17470,40,365
209041221,2013.766083,1888,11240,39,369
209041223,1610.770646,1387,19998,39,350
209041224,2252.340758,2127,22627,33,361
209041225,2162.168566,2131,10661,37,375
209041431,1983.19326,1832,13144,37,360
209041432,1766.774787,1599,8204,38,350
209041433,2145.090896,1954,12143,32,381
209041435,2505.027169,2346,12595,35,400
209041436,2195.231707,2147,12392,37,380
209041437,2186.10775,2027,24407,30,391
209041527,2452.111123,2342,16299,34,400
209041528,2301.738772,2261,10471,32,386
209041529,1600.294462,1391,9947,38,350
209041530,1838.09832,1593,13513,37,366
209041531,2164.076667,2103,11427,34,378
209041532,2333.321922,2173,11940,32,390
210011226,2179.464476,2292,8173,39,401
210011227,,0,13,45,0
210011228,2311.209615,2232,8548,45,396
210011230,2642.953466,2758,7460,40,435
210011231,2873.864241,2956,10031,41,450
210011533,2154.833212,2039,12388,45,400
210011534,2327.107443,2257,15073,43,408
210021232,2695.15173,2656,14222,40,430
210021233,2907.971638,2860,3523,46,361
210021234,2512.627202,2393,4457,42,400
210021235,2322.281626,2237,10765,41,365
210031236,2340.726087,2380,8425,38,401
210031237,1870.127985,1691,14002,35,380
210031439,2556.413295,2577,3111,40,423
210031440,1932.204342,1864,6241,36,376
210031535,1921.608892,1830,14783,34,369
210031536,2216.490566,2102,8857,33,369
210031537,2567.179519,2623,7898,36,401
210031538,2358.504035,2470,17214,36,400
210041240,2426.805865,2315,13671,39,371
210041539,2205.225014,2241,5237,32,396
210041540,2072.513009,2169,14985,38,351
210041541,2241.745742,2231,11166,36,376
210051242,1544.597679,1280,13859,33,331
210051243,1461.731441,1245,16057,34,330
210051245,2011.061012,1936,18024,41,371
210051246,2580.717535,2315,22095,35,430
210051247,1612.293473,1342,14890,34,346
210051248,2924.75,3499,126,38,250
210051250,1751.879889,1794,6576,40,351
210051441,1862.08811,1664,8099,34,350
210051442,2260.093171,2027,12309,32,371
210051443,2122.075251,1885,21673,32,375
210051445,2205.768661,1984,23374,30,400
210051542,2114.487081,1845,9842,30,396
210051543,2020.141738,1798,12999,31,381
210051544,2028.072476,1705,9479,34,375
210051545,1957.579654,1590,14658,30,395
211011251,1939.399673,1975,12589,38,376
211011254,2308.742612,2178,16601,39,425
211011255,3073.72272,2886,6594,41,435
211011256,2405.266521,2305,15418,41,425
211011257,2634.288744,2515,7905,41,450
211011258,2680.474744,2509,10375,42,471
211011259,2278.264468,2106,14341,41,427
211011260,2272.71901,2151,17942,44,426
211011446,1926.178357,1997,23560,39,376
211011447,1975.888478,2071,14145,41,370
211011448,2241.222135,2229,15334,39,405
211011449,2330.858819,2291,4345,39,366
211021261,2834.750506,2717,16275,45,451
211021262,3146.821758,3051,10112,46,481
211031263,2138.538289,2187,11871,39,361
211031265,2734.954586,2674,18059,41,431
211031266,2084.366579,2157,18715,38,381
211031267,2362.406118,2404,21132,39,385
211031268,2696.679196,2639,9654,43,436
211031450,1923.10456,2037,16109,38,371
211031451,2160.34955,2221,14139,41,399
211031452,2224.57731,2228,4898,38,410
211041269,2150.792634,2120,10780,42,396
211041270,2453.138664,2487,16795,39,406
211041271,2362.992599,2393,12413,39,391
211041272,2444.495713,2354,10993,40,426
211041273,2428.903282,2179,11954,46,496
211051274,2559.050189,2478,10005,40,400
211051275,2380.972683,2316,11779,38,443
211051276,1992.932416,1971,14065,45,350
211051277,1952.658625,2050,9916,38,396
211051278,2129.552816,2189,19599,40,369
211051279,2254.1458,2179,5816,43,360
211051280,2382.977096,2388,6943,41,365
211051281,2266.741737,2245,23146,37,400
211051282,2480.093999,2432,9706,45,400
211051283,2285.857735,2263,9799,38,365
211051284,2443.404291,2477,9777,41,375
211051285,2372.781728,2230,7902,39,360
211051286,1787.373852,1792,16799,43,315
212011289,2491.962926,2402,18633,41,370
212011546,2410.969311,2322,23632,33,391
212011547,2243.11113,2162,9868,40,311
212011548,2017.572081,2104,10069,35,320
212011549,1864.711561,1879,15441,32,346
212011550,2140.889585,2054,7479,32,366
212011551,1536.295009,1509,6439,35,335
212011552,2043.428796,1959,26783,33,369
212021293,2323.979917,2311,22963,43,380
212021295,1595.788063,1391,11889,34,320
212021297,1815.769634,1633,11472,36,361
212021299,3013.955318,2640,8241,43,400
212021453,2159.450481,1992,12086,39,369
212021454,2110.069531,1893,13360,39,383
212021455,2196.571482,2083,13504,36,370
212021456,1888.879022,1809,14758,35,360
212021553,2677.562334,2456,17760,35,430
212021554,2434.112185,2268,11254,34,400
212031300,1786.637617,1685,21281,35,342
212031303,2457.118904,2314,17400,32,408
212031304,2103.741792,1984,21535,32,380
212031306,2587.90932,2286,18027,33,416
212031308,2213.037701,2126,8024,40,370
212031457,2649.695333,2350,13152,36,430
212031458,2263.557551,2043,16713,33,392
212031555,2519.419007,2357,10535,32,421
212031556,2390.947532,2191,14802,29,410
212031557,2120.647871,1985,23415,31,400
212031558,2097.980742,2036,12289,30,401
212031559,2425.959668,2183,12772,30,401
212031560,1959.25501,1819,11910,34,355
212031561,1915.888515,1654,12715,32,355
212031562,1788.554129,1574,13368,34,350
212041309,2106.846822,1950,11554,44,400
212041310,1994.816838,1743,13381,34,381
212041312,1822.251586,1640,22526,38,341
212041313,2353.316825,2335,10499,45,450
212041316,1793.921585,1722,7456,40,351
212041317,1803.965835,1470,22248,36,356
212041318,1878.554046,1498,12621,38,355
212041459,1685.498486,1610,12739,35,331
212041460,1761.715222,1501,19591,36,346
212041563,1562.601641,1399,21487,35,310
212041564,1743.990069,1414,9350,32,341
212041565,1869.200908,1610,15096,40,381
212041566,2830.768935,2455,15093,34,520
212051319,2480.410597,2449,19507,36,415
212051321,2431.06595,2180,21603,42,500
212051322,2395.254783,2136,21036,39,462
212051323,2517.19564,2353,16073,40,485
212051324,2545.167922,2408,19265,40,470
212051325,2315.24192,2134,19889,40,430
212051326,2375.530061,2331,22928,37,415
212051327,2360.363794,2124,20652,48,481
212051567,1768.416407,1630,9829,26,380
212051568,2116.347062,1856,12052,30,401
213011328,1785.30053,1733,7502,36,320
213011329,2385.272906,1998,10038,36,400
213011331,1854.646516,1667,8077,39,350
213011332,1989.458132,1762,13082,42,360
213011333,1586.354042,1329,13983,38,323
213011334,1556.58686,1310,20581,36,330
213011335,1640.829226,1327,17454,38,323
213011336,2017.192862,1806,9445,35,340
213011337,1819.389354,1491,12047,37,341
213011338,1815.29858,1533,18558,38,346
213011339,2139.083097,2023,11726,37,366
213011340,2548.768732,2357,16910,45,412
213011569,1823.528915,1586,18004,35,350
213011570,2562.992696,2218,8653,32,400
213021341,2347.492734,2475,13556,42,390
213021342,1937.463294,1946,18479,41,341
213021343,2190.920271,2186,14931,37,400
213021344,2964.399554,3213,18753,38,460
213021345,2404.862058,2201,4952,37,361
213021346,2889.679617,3235,15912,45,450
213031347,2094.988503,1947,19068,34,350
213031348,2145.254655,2296,17131,34,355
213031349,2436.688513,2403,12573,36,396
213031350,2811.232163,3149,9247,37,414
213031351,2396.497663,2586,11735,35,351
213031352,2943.433185,3216,15463,37,462
213041353,2161.218597,2156,24717,37,340
213041358,1911.574336,1794,21208,33,340
213041359,2388.411869,2191,17553,31,400
213041360,2605.891865,2350,19539,34,400
213041461,2202.31625,2054,5800,37,400
213041462,2560.230114,2220,6377,33,411
213041463,2471.428016,2277,20365,35,401
213041571,1939.572711,1803,9829,33,350
213041572,2290.892476,2057,7598,29,371
213041573,2844.344867,2687,2990,35,380
213041574,2512.232424,2337,10098,31,429
213041575,2504.886782,2332,16182,36,380
213041576,1893.188861,1765,11632,35,321
213041577,1400.40052,1303,7886,39,300
213041578,1628.631275,1511,16658,32,321
213051361,2079.618882,1908,18446,37,341
213051362,1858.084372,1686,18772,37,340
213051363,2468.634804,2241,11459,32,380
213051368,2182.724182,2177,16810,37,351
213051464,2816.672521,2445,19274,33,401
213051466,2927.673757,2576,19091,33,410
213051467,1730.571463,1614,19010,36,315
213051468,2237.123047,2172,22341,32,360
213051579,2618.160832,2325,10616,31,361
213051580,2509.837058,2363,14167,36,390
213051581,2783.384383,2504,9565,34,400
213051582,2299.2545,2047,10132,29,385
213051583,2426.51866,2127,28116,30,380
213051584,2456.859606,2121,7197,29,391
213051585,2160.19983,1958,11182,31,369
213051586,2596.845147,2239,9340,30,402
213051587,2652.243139,2322,9596,31,395
213051588,2247.946592,1941,19065,30,377
213051589,2129.419374,1962,9032,29,350
213051590,2068.792493,1912,13546,33,336
214011370,1898.603859,1993,21976,36,370
214011371,1767.463404,1941,23586,39,335
214011372,1618.398678,1643,19453,38,341
214011373,2444.451375,2474,18801,44,420
214011374,2243.968818,2274,24939,38,365
214011375,1910.284751,2081,17215,40,351
214011376,2519.943983,2378,13303,38,450
214021377,1865.565209,1794,13366,51,405
214021378,2756.471154,2593,5995,56,424
214021379,1830.475813,1839,23970,42,330
214021381,2941.027177,2956,18734,45,512
214021382,2484.794809,2481,19846,46,496
214021383,1988.666714,1853,19811,53,376
214021384,1571.764554,1513,22944,52,350
214021385,2139.644283,2129,18522,41,380
214021591,1966.835618,2023,15175,45,400
214021592,1966.598327,1969,10581,57,410
215011386,1565.42616,1608,8500,45,250
215011387,1774.040162,1792,3204,49,151
215011388,1724.521406,1820,16985,40,245
215011389,1977.616025,2007,3471,46,185
215011390,1599.023846,1591,6956,50,170
215011391,1426.96687,1399,3453,52,182
215011392,1580.360282,1554,8504,48,214
215011393,1649.969622,1655,2766,52,150
215011394,1496.223582,1485,6501,52,166
215021395,2057.404066,2040,7700,40,250
215021396,1726.383865,1645,4976,43,220
215021398,1617.533703,1678,3726,46,150
215021399,1660.788402,1682,6138,41,240
215021469,1595.175293,1484,18027,39,260
215021470,1765.493431,1784,16408,39,300
215031400,1485.269803,1468,6184,52,158
215031401,1517.361875,1420,6719,52,180
215031402,1378.574099,1412,3960,51,200
215031403,1810.11219,1468,3740,36,220
215031404,1744.227239,1802,11186,38,235
215031405,1722.725296,1682,6477,43,180
216011406,1755.799856,1741,15636,45,285
216011407,1606.657726,1598,11121,45,210
216011408,1816.657212,1708,3927,45,200
216011409,1573.824087,1532,4016,50,213
216011410,1452.796431,1388,4193,52,200
216021411,1503.845633,1450,6465,48,250
216021412,1753.007895,1579,2843,48,210
216021413,1611.102962,1577,12555,46,210
216021414,1603.75522,1445,8661,52,290
216031415,1487.897113,1455,8312,43,250
216031416,1951.273694,1955,19928,38,270
216031418,2062.626242,1967,4017,43,236
216031419,1778.339171,1780,10346,45,240
216031593,2292.695082,2200,9082,38,380
216031594,1482.096118,1357,16520,37,270
217011420,1651.959655,1654,8920,51,180
217011421,1582.851464,1652,10346,45,235
217011422,1591.707067,1551,11230,47,250
217011423,1785.343667,1755,6301,49,170
217031471,1536.989048,1533,3491,50,240
217031472,1618.196375,1701,12756,42,260
217031473,1822.815029,1863,5669,45,250
217031474,1605.244121,1632,5395,49,200
217031475,1850.595672,1763,7180,45,231
217031476,1628.483882,1522,4008,52,285
217041477,1937.815824,1905,7018,42,200
217041478,1905.366053,1911,10014,46,280
217041479,1850.573197,1892,22405,40,300
217041480,1823.943042,1899,13337,44,287
297979799,,0,38,50,0
299999499,,0,9089,0,0
