SA2_CODE_2021,Median_age_persons
212051322,39
212051323,40
212051324,40
212051325,40
212051326,37
212051327,48
212051567,26
212051568,30
213011328,36
213011329,36
213011331,39
213011332,42
213011333,38
213011334,36
213011335,38
213011336,35
213011337,37
213011338,38
213011339,37
213011340,45
213011569,35
213011570,32
213021341,42
213021342,41
213021343,37
213021344,38
213021345,37
213021346,45
213031347,34
213031348,34
213031349,36
213031350,37
213031351,35
213031352,37
213041353,37
213041358,33
213041359,31
213041360,34
213041461,37
213041462,33
213041463,35
213041571,33
213041572,29
213041573,35
213041574,31
213041575,36
213041576,35
213041577,39
213041578,32
213051361,37
213051362,37
213051363,32
213051368,37
213051464,33
213051466,33
213051467,36
213051468,32
213051579,31
213051580,36
213051581,34
213051582,29
213051583,30
213051584,29
213051585,31
213051586,30
213051587,31
213051588,30
213051589,29
213051590,33
214011370,36
214011371,39
214011372,38
214011373,44
214011374,38
214011375,40
214011376,38
214021377,51
214021378,56
214021379,42
214021381,45
214021382,46
214021383,53
214021384,52
214021385,41
214021591,45
214021592,57
215011386,45
215011387,49
215011388,40
215011389,46
215011390,50
215011391,52
215011392,48
215011393,52
215011394,52
215021395,40
215021396,43
215021398,46
215021399,41
215021469,39
215021470,39
215031400,52
215031401,52
215031402,51
215031403,36
215031404,38
215031405,43
216011406,45
216011407,45
216011408,45
216011409,50
216011410,52
216021411,48
216021412,48
216021413,46
216021414,52
216031415,43
216031416,38
216031418,43
216031419,45
216031593,38
216031594,37
217011420,51
217011421,45
217011422,47
217011423,49
217031471,50
217031472,42
217031473,45
217031474,49
217031475,45
217031476,52
217041477,42
217041478,46
217041479,40
217041480,44
297979799,50
299999499,0
